Region,Country,Brand,Model,Coverage,Group1,Group2,Group3,Group4,Data 1 1,Data 1 2,Data 1 3,Data 1 4,Data 2 1,Data 2 2,Data 2 3,Data 2 4,Data 3 1,Data 3 2,Data 3 3,Data 3 4,Data 4 1,Data 4 2,Data 4 3,Data 4 4
Europe,De,Audi,A1,75,75,100,75,50,100,100,0,100,100,100,100,100,100,100,100,0,100,0,0,100
Europe,De,Audi,A2,62.5,50,75,75,50,0,0,100,100,100,100,100,0,100,0,100,100,0,100,100,0
Europe,De,Audi,A3,50,50,75,25,50,0,0,100,100,100,0,100,100,0,0,100,0,100,0,100,0
Europe,De,Audi,A4,62.5,75,50,75,50,0,100,100,100,0,100,0,100,100,0,100,100,0,100,0,100
Europe,De,Audi,A6,62.5,75,50,50,75,100,0,100,100,100,100,0,0,0,0,100,100,100,0,100,100
Europe,De,Audi,A8,56.25,25,50,50,100,100,0,0,0,0,100,0,100,100,0,100,0,100,100,100,100
Europe,De,Volkswagen,Polo,62.5,50,100,50,50,0,100,100,0,100,100,100,100,100,0,0,100,100,100,0,0
Europe,De,Volkswagen,Golf,31.25,0,50,25,50,0,0,0,0,0,100,100,0,0,100,0,0,0,100,100,0
Europe,De,Volkswagen,Jetta,37.5,25,75,0,50,0,0,0,100,100,100,100,0,0,0,0,0,0,0,100,100
Europe,De,Volkswagen,Passat,56.25,50,50,75,50,0,100,0,100,100,0,100,0,100,100,0,100,0,0,100,100
Europe,De,Volkswagen,Beetle,43.75,25,75,50,25,0,0,100,0,100,0,100,100,0,100,0,100,0,0,0,100
Europe,De,Volkswagen,T5,56.25,50,75,50,50,0,100,100,0,100,100,0,100,100,0,100,0,0,0,100,100
Europe,De,Seat,Leon,31.25,25,25,0,75,0,0,100,0,100,0,0,0,0,0,0,0,100,100,100,0
Europe,De,Seat,Cordoba,37.5,25,25,50,50,100,0,0,0,0,100,0,0,100,100,0,0,100,0,0,100
Europe,De,Seat,Ateca,62.5,75,25,100,50,0,100,100,100,0,0,0,100,100,100,100,100,0,0,100,100
Europe,De,Seat,Alhambra,37.5,25,50,50,25,0,0,0,100,100,0,100,0,0,0,100,100,0,0,0,100
Europe,De,Mercedes,C100,31.25,0,0,50,75,0,0,0,0,0,0,0,0,100,100,0,0,100,100,0,100
Europe,De,Mercedes,E500,56.25,25,75,50,75,100,0,0,0,100,100,100,0,100,0,0,100,100,100,100,0
Europe,De,Mercedes,C230,31.25,50,25,50,0,100,100,0,0,0,0,100,0,100,100,0,0,0,0,0,0
Europe,De,Mercedes,EQS,62.5,50,50,50,100,100,0,100,0,100,100,0,0,0,100,0,100,100,100,100,100
Europe,De,Mercedes,EQE,18.75,0,50,0,25,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
Europe,FR,Audi,A1,75,75,100,75,50,100,100,0,100,100,100,100,100,100,100,100,0,100,0,0,100
Europe,FR,Audi,A2,31.25,50,0,50,25,100,0,0,100,0,0,0,0,0,0,100,100,0,0,100,0
Europe,FR,Audi,A3,56.25,50,75,50,50,0,100,0,100,100,100,100,0,100,100,0,0,100,0,0,100
Europe,FR,Audi,A4,62.5,50,50,75,75,100,100,0,0,100,0,100,0,100,0,100,100,0,100,100,100
Europe,FR,Audi,A6,62.5,50,75,50,75,0,0,100,100,100,100,100,0,0,100,0,100,100,100,0,100
Europe,FR,Audi,A8,37.5,50,75,0,25,100,0,0,100,100,0,100,100,0,0,0,0,0,100,0,0
Europe,FR,Volkswagen,Polo,37.5,25,75,25,25,0,0,0,100,100,100,100,0,0,0,100,0,0,100,0,0
Europe,FR,Volkswagen,Golf,56.25,25,75,75,50,0,0,0,100,100,0,100,100,100,0,100,100,0,100,100,0
Europe,FR,Volkswagen,Jetta,50,50,75,50,25,0,100,0,100,100,100,0,100,100,100,0,0,0,0,0,100
Europe,FR,Volkswagen,Passat,37.5,75,25,25,25,100,0,100,100,100,0,0,0,100,0,0,0,0,0,0,100
Europe,FR,Volkswagen,Beetle,56.25,25,75,75,50,0,0,0,100,100,100,100,0,0,100,100,100,0,100,100,0
