Region,Country,Brand,Model,Type,Seats,Doors,Year,Transmission,Fuel Type,Volume,Coverage
Europe,AUT,Audi,A1,Hatchback,4,3,2009,Manual,Gasoline,3220467.00,95
Europe,AUT,Audi,A3,Sedan,5,4,2016,Automatic,Gasoline/Diesel,7981350.00,76
Europe,AUT,Audi,A4,Sedan,5,4,2009,Automatic,Gasoline/Diesel,3059290.00,76
Europe,AUT,Audi,A5,Coupe,4,2,2009,Automatic,Gasoline/Diesel,2087424.00,53
Europe,AUT,Audi,A6,Sedan,5,4,2017,Automatic,Gasoline/Diesel,5696185.00,80
Europe,AUT,Audi,Q2,SUV,5,5,2002,Automatic,Gasoline/Diesel,9743827.00,72
Europe,AUT,Audi,Q3,SUV,5,5,2002,Automatic,Gasoline/Diesel,2750487.00,58
Europe,AUT,Audi,Q5,SUV,5,5,2017,Automatic,Gasoline/Diesel,4204283.00,82
Europe,AUT,Audi,Q7,SUV,7,4,2006,Automatic,Gasoline/Diesel,5113636.00,92
Europe,AUT,BMW,1 Series,Hatchback,5,5,2003,Manual,Gasoline/Diesel,3580132.00,50
Europe,AUT,BMW,2 Series,Coupe,4,2,2005,Automatic,Gasoline/Diesel,6687482.00,68
Europe,AUT,BMW,3 Series,Sedan,5,4,2001,Automatic,Gasoline/Diesel,5611558.00,63
Europe,AUT,BMW,4 Series,Coupe,4,2,2009,Automatic,Gasoline/Diesel,7550473.00,92
Europe,AUT,BMW,5 Series,Sedan,5,4,2016,Automatic,Gasoline/Diesel,5171032.00,81
Europe,AUT,BMW,7 Series,Sedan,5,4,2013,Automatic,Gasoline/Diesel,9425788.00,67
Europe,AUT,Ford,Fiesta,Hatchback,5,5,2002,Manual,Gasoline,7558146.00,82
Europe,AUT,Ford,Focus,Hatchback,5,5,2013,Automatic,Gasoline/Diesel,5137650.00,60
Europe,AUT,Ford,Mondeo,Sedan,5,4,2019,Automatic,Gasoline/Diesel,2631055.00,75
Europe,AUT,Ford,Kuga,SUV,5,5,2003,Automatic,Gasoline/Diesel,8659462.00,79
Europe,AUT,Mercedes-Benz,A-Class,Hatchback,5,5,2006,Automatic,Gasoline/Diesel,9510584.00,71
Europe,AUT,Mercedes-Benz,C-Class,Sedan,5,4,2011,Automatic,Gasoline/Diesel,6985380.00,92
Europe,AUT,Mercedes-Benz,E-Class,Sedan,5,4,2013,Automatic,Gasoline/Diesel,3582185.00,52
Europe,AUT,Mercedes-Benz,S-Class,Sedan,5,4,2023,Automatic,Gasoline/Diesel,2604216.00,83
Europe,AUT,Mercedes-Benz,GLA-Class,SUV,5,5,2006,Automatic,Gasoline/Diesel,3676103.00,84
Europe,AUT,Mercedes-Benz,GLC-Class,SUV,5,5,2000,Automatic,Gasoline/Diesel,5794867.00,86
Europe,AUT,Opel,Corsa,Hatchback,5,5,2001,Manual,Gasoline/ Diesel,6573315.00,61
Europe,AUT,Opel,Astra,Hatchback/ Wagon/ Sedan,5,5,2015,Manual/ Automatic,Gasoline/ Diesel,8072152.00,83
Europe,AUT,Opel,Insignia,Hatchback/ Wagon/ Sedan,5,5,2008,Manual/ Automatic,Gasoline/ Diesel,5645250.00,56
Europe,AUT,Peugeot,208,Hatchback,5,3,2005,Manual/ Automatic,Gasoline/ Diesel,8638787.00,72
Europe,AUT,Peugeot,308,Hatchback/ Wagon,5,5,2011,Manual/ Automatic,Gasoline/ Diesel/ Hybrid,8651805.00,97
Europe,AUT,Peugeot,2008,SUV,5,5,2020,Manual/ Automatic,Gasoline/ Diesel/ Hybrid,2718.00,92
Europe,AUT,Renault,Clio,Hatchback,5,5,2020,Manual/ Automatic,Gasoline/ Diesel/ Hybrid,380467.00,52
Europe,AUT,Renault,Megane,Hatchback/ Wagon/ Sedan,5,5,2015,Manual/ Automatic,Gasoline/ Diesel,1613574.00,50
Europe,AUT,Renault,Captur,SUV,5,5,2009,Manual/ Automatic,Gasoline/ Diesel/ Hybrid,9088644.00,57
Europe,AUT,Seat,Ibiza,Hatchback,5,3,2016,Manual/ Automatic,Gasoline/ Natural Gas,6100416.00,56
Europe,AUT,Seat,Leon,Hatchback/ Wagon/ Sedan,5,5,2008,Manual/ Automatic,Gasoline/ Diesel/ Natural Gas,1496838.00,97
Europe,AUT,Seat,Ateca,SUV,5,5,2021,Manual/ Automatic,Gasoline/ Diesel/ Plug-in Hybrid,7070493.00,99
Europe,AUT,Skoda,Fabia,Hatchback,5,5,2016,Manual,Petrol/ Diesel,6024427.00,74
Europe,AUT,Skoda,Octavia,Sedan/ Estate,5,4,2013,Manual/ Automatic,Petrol/ Diesel/ Hybrid,160355.00,57
Europe,AUT,Skoda,Superb,Sedan/ Estate,5,4,2017,Manual/ Automatic,Petrol/ Diesel/ Hybrid,4914960.00,69
Europe,AUT,Smart,Fortwo,Coupe/ Cabrio,2,2,2018,Automatic,Electric,5462224.00,93
Europe,AUT,Smart,Forfour,Hatchback,4,5,2017,Automatic,Electric,3933790.00,77
Europe,AUT,Subaru,Impreza,Hatchback,5,5,2019,Manual/ Automatic,Petrol,3127519.00,50
Europe,AUT,Subaru,Legacy,Sedan/ Estate,5,4,2000,Manual/ Automatic,Petrol,4967870.00,67
Europe,AUT,Subaru,Outback,SUV,5,5,2021,Automatic,Petrol,4577584.00,64
Europe,AUT,Suzuki,Swift,Hatchback,5,5,2002,Manual/ Automatic,Petrol/ Hybrid,5754549.00,74
Europe,AUT,Suzuki,Ignis,SUV,4,5,2009,Manual/ Automatic,Petrol/ Hybrid,4159453.00,83
Europe,AUT,Suzuki,Vitara,SUV,5,5,2023,Manual/ Automatic,Petrol/ Hybrid,7806915.00,85
Europe,AUT,Tesla,Model 3,Sedan,5,4,2010,Automatic,Electric,8685693.00,78
Europe,AUT,Tesla,Model S,Sedan,5,4,2016,Automatic,Electric,5190782.00,56
Europe,AUT,Tesla,Model X,SUV,7,4,2005,Automatic,Electric,6927246.00,100
Europe,AUT,Tesla,Model Y,SUV,7,4,2006,Automatic,Electric,7030981.00,59
Europe,AUT,Toyota,Aygo,Hatchback,4,5,2014,Manual/ Automatic,Petrol,769099.00,80
Europe,AUT,Toyota,Yaris,Hatchback,5,5,2007,Manual/ Automatic,Petrol/ Hybrid,9223903.00,73
Europe,AUT,Toyota,Corolla,Sedan/ Hatchback/ Estate,5,4,2016,Manual/ Automatic,Petrol/ Hybrid,855069.00,50
